stop_id,stop_name,stop_type,coordinates
69001465,High Tweed Mill,bus,"[-2.823139, 55.623419]"
69001589,Bridges Rd End,bus,"[-3.185297, 55.65265]"
69001646,The Nest Kennels,bus,"[-2.903125, 55.608838]"
69001647,The Nest Kennels,bus,"[-2.90325, 55.608775]"
69001654,Woodlea,bus,"[-2.828947, 55.624737]"
69001679,Eshiels Mill,bus,"[-3.153848, 55.646219]"
69001681,Cringletie House,bus,"[-3.212228, 55.68842]"
69001682,Cringletie House,bus,"[-3.211907, 55.688325]"
69001700,Woodend Lodge,bus,"[-3.09492, 55.628267]"
69001701,Glenormiston Lodge,bus,"[-3.094701, 55.628367]"
69001704,Lodge,bus,"[-2.846099, 55.629939]"
69001705,Lodge,bus,"[-2.846114, 55.629903]"
69001721,Wood Street Church,bus,"[-2.834672, 55.626621]"
69001722,Aldi,bus,"[-2.822525, 55.622911]"
69002001,Transport Interchange,bus,"[-2.805946, 55.617468]"
6900202,Meigle Row,bus,"[-2.87406, 55.619607]"
6900203,Station Yard,bus,"[-2.874014, 55.619652]"
6900205,The Clovenfords Hotel,bus,"[-2.876242, 55.618585]"
6900206,Caddonfoot Road,bus,"[-2.876762, 55.617593]"
690030470,The Nest Roundabout,bus,"[-2.898718, 55.607748]"
690030472,The Nest Roundabout,bus,"[-2.89924, 55.607672]"
6900315,Wood Street,bus,"[-2.837155, 55.627637]"
6900316,Wood Street Church,bus,"[-2.833717, 55.626519]"
6900317,Wood Street,bus,"[-2.831349, 55.625664]"
6900332,Bank Street Gardens,bus,"[-2.807441, 55.615284]"
6900333,Iceland,bus,"[-2.810567, 55.6175]"
6900337,Wood Street,bus,"[-2.831586, 55.625626]"
6900407,Annie's Cafe,bus,"[-2.819822, 55.622013]"
6900408,Purves' Garage,bus,"[-2.816913, 55.621079]"
6900409,B and Q,bus,"[-2.815039, 55.620337]"
6900412,Woodlea,bus,"[-2.828342, 55.624651]"
6900479,Union Club,bus,"[-3.066509, 55.617928]"
6900480,Co-op,bus,"[-3.066367, 55.61787]"
6900481,Tweedside Hotel,bus,"[-3.064172, 55.618896]"
6900489,Tweedside Hotel,bus,"[-3.063634, 55.618963]"
6900696,Hydro Rd End,bus,"[-3.176567, 55.650353]"
6900697,Hydro Rd End,bus,"[-3.17641, 55.650408]"
